Generation,Number,Name,Red,Green,Blue,Yellow,Gold,Silver,Crystal,Ruby,Sapphire,Fire Red,Leaf Green,Emerald,Colosseum,Gale Of Darkness,Diamond,Pearl,Platinum,Heart Gold,Soul Silver,Black,White,Black 2,White 2,X,Y,Omega Ruby,Alpha Sapphire,Sun,Moon,Ultra Sun,Ultra Moon,Let's Go Pikachu,Let's Go Eevee,Sword,Shield,Brilliant Diamond,Shining Pearl,Legends Arceus,Scarlet,Violet
I,1,Bulbasaur,R,R,R,R,Ev,Ev,Ev,Ev,Ev,R,R,Ev,T,T,T,T,T,R,R,Ev,Ev,Ev,Ev,R,R,Ev,Ev,T,T,S,S,C,C,RD,RD,C,C,—,—,—
I,2,Ivysaur,E,E,E,E,EvE,EvE,EvE,EvE,EvE,E,E,EvE,T,T,T,T,T,E,E,EvE,EvE,EvE,EvE,E,E,EvE,EvE,T,T,E,E,E,E,DA,DA,E,E,—,—,—
I,3,Venusaur,E,E,E,E,Ev,Ev,Ev,EvE,EvE,E,E,EvE,T,T,T,T,T,E,E,EvE,EvE,EvE,EvE,E,E,Ev,Ev,T,T,E,E,E,E,DD,DD,E,E,—,—,—
I,4,Charmander,R,R,R,R,Ev,Ev,Ev,Ev,Ev,R,R,Ev,T,T,Ev,Ev,Ev,R,R,Ev,Ev,Ev,Ev,R,R,Ev,Ev,EvB,EvB,S,S,C,C,R,R,C,C,—,EvB,EvB
I,5,Charmeleon,E,E,E,E,EvE,EvE,EvE,EvE,EvE,E,E,EvE,T,T,EvE,EvE,EvE,E,E,EvE,EvE,EvE,EvE,E,E,EvE,EvE,EvB,EvB,E,E,E,E,D,D,E,E,—,EvB,EvB
I,6,Charizard,E,E,E,E,Ev,Ev,Ev,Ev,Ev,E,E,Ev,T,T,EvE,EvE,EvE,E,E,EvE,EvE,EvE,EvE,E,E,Ev,Ev,Ev,Ev,E,E,C,C,D,D,E,E,—,Ev,Ev
I,7,Squirtle,R,R,R,R,Ev,Ev,Ev,Ev,Ev,R,R,Ev,T,T,T,T,T,R,R,Ev,Ev,Ev,Ev,R,R,Ev,Ev,T,T,S,S,C,C,RD,RD,C,C,—,—,—
I,8,Wartortle,E,E,E,E,EvE,EvE,EvE,EvE,EvE,E,E,EvE,T,T,T,T,T,E,E,EvE,EvE,EvE,EvE,E,E,EvE,EvE,T,T,E,E,E,E,DA,DA,E,E,—,—,—
I,9,Blastoise,E,E,E,E,Ev,Ev,Ev,Ev,Ev,E,E,Ev,T,T,T,T,T,E,E,EvE,EvE,EvE,EvE,E,E,Ev,Ev,T,T,E,E,E,E,DD,DD,E,E,—,—,—
I,10,Caterpie,C,C,C,C,C,C,C,T,T,C,C,T,T,T,D,D,D,C,C,DWB,B,T,B,C,C,T,T,C,C,C,C,C,C,C,C,C,T,—,—,—
I,11,Metapod,C,C,C,C,C,C,C,T,T,C,C,T,T,T,D,D,D,C,C,DWB,C,T,B,E,C,T,T,C,C,C,C,C,C,C,C,E,T,—,—,—
I,12,Butterfree,E,E,E,E,C,C,C,T,T,E,E,T,T,S,DE,DE,DE,C,C,DW,C,T,C,E,E,T,T,C,C,C,C,C,E,C,C,E,T,—,—,—
I,13,Weedle,C,C,C,T,C,C,C,T,T,C,C,T,T,T,D,D,D,C,C,B,DWB,B,T,C,C,B,B,T,T,B,B,C,C,—,—,T,C,—,—,—
I,14,Kakuna,C,C,C,T,C,C,C,T,T,C,C,T,T,T,D,D,D,C,C,C,DWB,B,T,C,E,C,C,T,T,B,B,C,C,—,—,T,E,—,—,—
I,15,Beedrill,E,E,E,T,C,C,C,T,T,E,E,T,T,S,DE,DE,DE,C,C,C,DW,C,T,E,E,E,E,T,T,S,S,E,C,—,—,T,E,—,—,—
I,16,Pidgey,C,C,C,C,C,C,C,T,T,C,C,T,T,T,S,S,C,C,C,DW,C,DW,DW,C,C,B,B,T,T,B,B,C,C,—,—,S,S,—,—,—
I,17,Pidgeotto,C,C,C,C,C,C,C,T,T,C,C,T,T,S,E,E,E,C,C,DWE,E,DWE,DWE,E,E,C,C,T,T,B,B,C,C,—,—,E,E,—,—,—
I,18,Pidgeot,E,E,E,E,E,E,E,T,T,E,E,T,T,E,E,E,E,E,E,DWE,E,DWE,DWE,E,E,E,E,T,T,S,S,C,C,—,—,E,E,—,—,—
I,19,Rattata,C,C,C,C,C,C,C,T,T,C,C,T,T,T,C,C,C,C,C,B,B,C,C,T,T,C,C,T,T,T,T,C,C,—,—,C,C,—,—,—
I,19,Rattata (Alolan Form),—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,C,C,C,R,R,—,—,—,—,—,—,—
I,20,Raticate,C,C,C,C,C,C,C,T,T,C,C,T,T,S,C,C,C,C,C,C,C,C,C,T,T,C,C,T,T,T,T,C,C,—,—,C,C,—,—,—
I,20,Raticate (Alolan Form),—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,C,C,C,E,E,—,—,—,—,—,—,—
I,21,Spearow,C,C,C,C,C,C,C,T,T,C,C,T,T,S,C,C,C,C,C,B,B,B,B,B,B,T,T,C,C,C,C,C,C,—,—,C,C,—,—,—
I,22,Fearow,C,C,C,C,C,C,C,T,T,C,C,T,T,E,C,C,C,C,C,C,C,S,S,C,C,T,T,C,C,C,C,C,C,—,—,C,C,—,—,—
I,23,Ekans,C,T,T,T,R,C,C,Ev,Ev,C,Ev,Ev,T,T,D,D,D,C,C,DW,DW,DW,DW,C,C,T,T,T,T,C,C,T,C,—,—,C,T,—,CD,CD
I,24,Arbok,C,T,T,T,E,C,C,EvE,EvE,C,EvE,EvE,T,S,D,D,D,C,C,DWE,DWE,DWE,DWE,C,C,T,T,T,T,R,R,T,C,—,—,E,T,—,CD,CD
I,25,Pikachu,C,C,C,R,C,C,C,C,C,C,C,C,T,T,C,C,C,C,C,Ev,Ev,Ev,Ev,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
I,26,Raichu,C,C,C,EvE,E,E,E,E,E,E,E,E,T,T,E,E,E,E,E,EvE,EvE,EvE,EvE,E,E,E,E,T,T,E,E,E,E,D,D,E,E,C,C,C
I,26,Raichu (Alolan Form),—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,E,E,E,E,R,R,RD,RD,—,—,—,T,T
I,27,Sandshrew,T,C,C,C,C,R,C,C,C,Ev,C,C,T,C,D,D,D,C,C,B,B,C,C,B,B,C,C,T,T,T,T,C,T,CD,CD,T,C,—,CD,CD
